Filename,Touches,Author,Timestamp
app/build.gradle.kts,6,Niall Scott,2024-10-04T07:42:57Z
app/build.gradle.kts,6,Scott Alexander-Bown,2024-09-18T10:02:36Z
app/build.gradle.kts,6,Scott Alexander-Bown,2024-09-12T10:16:21Z
app/build.gradle.kts,6,Artsem Kurantsou,2024-08-17T14:34:47Z
app/build.gradle.kts,6,Artsem Kurantsou,2024-08-05T18:31:03Z
app/build.gradle.kts,6,Artsem Kurantsou,2024-08-04T21:18:36Z
build.gradle.kts,3,Niall Scott,2024-10-04T07:42:57Z
build.gradle.kts,3,Artsem Kurantsou,2024-08-17T14:34:47Z
build.gradle.kts,3,Artsem Kurantsou,2024-08-04T21:18:36Z
rootbeerlib/build.gradle.kts,6,Niall Scott,2024-10-04T07:42:57Z
rootbeerlib/build.gradle.kts,6,Scott Alexander-Bown,2024-09-18T10:02:36Z
rootbeerlib/build.gradle.kts,6,Scott Alexander-Bown,2024-09-12T10:16:21Z
rootbeerlib/build.gradle.kts,6,Artsem Kurantsou,2024-08-05T19:48:03Z
rootbeerlib/build.gradle.kts,6,Artsem Kurantsou,2024-08-05T19:38:36Z
rootbeerlib/build.gradle.kts,6,Artsem Kurantsou,2024-08-04T21:18:36Z
settings.gradle.kts,4,Niall Scott,2024-10-04T07:42:57Z
settings.gradle.kts,4,Scott Alexander-Bown,2024-09-18T10:02:36Z
settings.gradle.kts,4,Artsem Kurantsou,2024-08-05T18:31:03Z
settings.gradle.kts,4,Artsem Kurantsou,2024-08-04T21:18:36Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,6,Scott Alexander-Bown,2024-09-12T10:16:21Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,6,grubeli,2021-11-16T14:04:57Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,6,Scott Alexander-Bown,2021-05-24T07:46:20Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,6,Scott Alexander-Bown,2021-05-24T07:45:07Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,6,Scott Alexander-Bown,2021-05-21T14:40:38Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,6,Scott Alexander-Bown,2021-05-08T14:18:37Z
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,4,Scott Alexander-Bown,2024-09-12T10:16:21Z
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,4,Artsem Kurantsou,2024-08-05T18:31:03Z
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,4,Artsem Kurantsou,2024-08-04T19:40:34Z
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,4,Scott Alexander-Bown,2021-05-08T14:18:37Z
app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,2,Scott Alexander-Bown,2024-09-12T10:16:21Z
app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,2,Scott Alexander-Bown,2021-05-08T14:18:37Z
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,3,Scott Alexander-Bown,2024-09-12T10:16:21Z
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,3,Artsem Kurantsou,2024-08-04T19:40:34Z
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,3,Scott Alexander-Bown,2021-05-08T14:18:37Z
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,2,Scott Alexander-Bown,2024-09-12T10:16:21Z
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,2,Scott Alexander-Bown,2021-05-08T14:18:37Z
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,2,Scott Alexander-Bown,2024-09-12T10:16:21Z
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,2,Scott Alexander-Bown,2021-05-08T14:18:37Z
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,3,Scott Alexander-Bown,2024-09-12T10:16:21Z
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,3,Artsem Kurantsou,2024-08-04T19:40:34Z
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,3,Scott Alexander-Bown,2021-05-08T14:18:37Z
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,2,Scott Alexander-Bown,2024-09-12T10:16:21Z
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,2,Scott Alexander-Bown,2021-05-08T14:18:37Z
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,2,Scott Alexander-Bown,2024-09-12T10:16:21Z
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,2,Scott Alexander-Bown,2021-05-08T14:18:37Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,6,Scott Alexander-Bown,2024-09-12T10:16:21Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,6,Scott Alexander-Bown,2021-05-08T14:18:37Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,6,Matthew Rollings,2019-03-14T12:24:58Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,6,Scott Alexander-Bown,2016-03-16T14:05:46Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,6,Mohammed Ezzat,2016-03-15T13:13:43Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,6,Scott Alexander-Bown,2015-06-30T14:14:08Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10,Matthew Rollings,2021-05-24T07:35:11Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10,Scott Alexander-Bown,2021-05-08T14:18:37Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10,Matthew Rollings,2019-03-14T12:24:58Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10,Matthew Rollings,2017-03-29T11:18:37Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10,Scott Alexander-Bown,2015-06-30T14:45:20Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10,Matthew Rollings,2015-06-30T14:36:54Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10,Scott Alexander-Bown,2015-06-30T14:14:20Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10,Matthew Rollings,2015-06-30T14:14:02Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10,Matthew Rollings,2015-06-26T15:57:05Z
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10,Scott Alexander-Bown,2015-06-26T15:50:40Z
rootbeerlib/src/main/cpp/toolChecker.cpp,1,Scott Alexander-Bown,2021-05-22T13:42:21Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,11,Scott Alexander-Bown,2021-05-08T14:18:37Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,11,Matthew Rollings,2020-02-03T20:42:40Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,11,Daniel Kutik,2019-11-16T02:39:54Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,11,Matthew Rollings,2019-03-14T12:24:58Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,11,Matthew Rollings,2018-03-20T17:57:33Z
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,11,altvnv,2018-03-16T16:42:19Z
